Jour,Matricule ,Seg,Type,Entrée,Date,EntryTime,ExitTime,Durée dans la base
03-May,00004-516,DNM,,,03/05/2024,7:51,9:55,2:04:00
03-May,00015-219,TST,,,03/05/2024,8:10,9:14,1:04:00
03-May,000016-524,DNM,Demob,,03/05/2024,8:29,9:05,0:36:00
03-May,000155-223,WL,,,03/05/2024,8:48,10:17,1:29:00
03-May,000256-223,WL,,,03/05/2024,9:41,10:10,0:29:00
03-May,00968-211,WL,,,03/05/2024,11:01,12:17,1:16:00
03-May,00054-519,WL,,,03/05/2024,17:16,17:45,0:29:00
04-May,00048-519,WL,,,04/05/2024,6:21,7:46,1:25:00
04-May,00039-519,TST,,,04/05/2024,8:13,9:00,0:47:00
04-May,000012-517,TST,,,04/05/2024,8:36,11:57,3:21:00
04-May,00044-519,WL,,,04/05/2024,8:38,9:44,1:06:00
04-May,00147-518,WL,,,04/05/2024,8:47,9:37,0:50:00
04-May,000589-516,WL,,,04/05/2024,9:32,9:54,0:22:00
04-May,000016-524,DNM,,,04/05/2024,9:45,10:28,0:43:00
04-May,000562-518,DNM,,,04/05/2024,9:50,10:33,0:43:00
04-May,00045-519,TST,,,04/05/2024,10:28,11:53,1:25:00
04-May,00436-512,WL,,,04/05/2024,10:50,11:12,0:22:00
04-May,000018-522,TST,,,04/05/2024,11:05,11:43,0:38:00
04-May,00038-514,WL,,,04/05/2024,11:06,12:00,0:54:00
04-May,00147-518,WL,,,04/05/2024,11:08,11:41,0:33:00
04-May,000609-518,TST,,,04/05/2024,11:16,11:47,0:31:00
04-May,000040-722,TST,,,04/05/2024,11:24,11:45,0:21:00
04-May,000040-722,TST,,,04/05/2024,14:05,15:09,1:04:00
04-May,00016-522,TST,,,04/05/2024,14:08,15:16,1:08:00
04-May,000018-522,TST,,,04/05/2024,14:08,15:56,1:48:00
04-May,000589-514,WL,,,04/05/2024,14:35,15:59,1:24:00
04-May,000020-524,WL,,,04/05/2024,15:52,16:34,0:42:00
04-May,00053-519,WL,,,04/05/2024,16:06,16:34,0:28:00
04-May,00054-519,WL,,,04/05/2024,16:40,17:34,0:54:00
04-May,00162-217,TST,,,04/05/2024,17:15,17:35,0:20:00
05-May,00039-519,TST,,,05/05/2024,8:23,13:00,4:37:00
05-May,000016-524,DNM,,,05/05/2024,8:26,9:16,0:50:00
05-May,000016-524,DNM,,,05/05/2024,9:42,10:14,0:32:00
05-May,000040-722,TST,,,05/05/2024,10:58,11:08,0:10:00
05-May,000016-524,DNM,,,05/05/2024,11:13,11:47,0:34:00
05-May,00044-519,WL,,,05/05/2024,11:44,12:54,1:10:00
05-May,00147-518,WL,,,05/05/2024,12:09,12:19,0:10:00
05-May,00344-514,WL,,,05/05/2024,15:30,16:22,0:52:00
05-May,000017-522,WL,,,05/05/2024,15:36,16:49,1:13:00
05-May,00147-518,WL,,,05/05/2024,16:09,16:35,0:26:00
05-May,000155-223,WL,,,05/05/2024,16:17,16:27,0:10:00
05-May,00048-519,WL,,,05/05/2024,16:40,17:00,0:20:00
06-May,000040-722,TST,,,06/05/2024,07:50:00,11:50,4:00:00
06-May,000155-223,WL,,,06/05/2024,11:49,12:26,0:37:00
06-May,000040-722,TST,,,06/05/2024,14:09,16:58,2:49:00
06-May,00048-519,WL,,,06/05/2024,14:42,15:01,0:19:00
06-May,000562-518,TST,,,06/05/2024,14:42,14:47,0:05:00
06-May,000020-524,WL,,,06/05/2024,14:56,17:22,2:26:00
06-May,00039-519,DNM,,,06/05/2024,15:19,16:00,0:41:00
06-May,000562-518,TST,,,06/05/2024,15:41,16:46,1:05:00
06-May,00162-217,WL,,,06/05/2024,15:41,16:09,0:28:00
06-May,00021-518,TST,,,06/05/2024,15:49,17:21,1:32:00
07-May,000040-722,TST,,851,07/05/2024,8:02,8:51,0:49:00
07-May,000050-519,WL,,1142,07/05/2024,9:20,11:42,2:22:00
07-May,000617-514,WL,,1057,07/05/2024,10:19,10:57,0:38:00
07-May,000040-722,TST,,1144,07/05/2024,10:38,11:44,1:06:00
07-May,001087-513,TST,,1225,07/05/2024,10:55,12:25,1:30:00
07-May,000155-223,WL,,1415,07/05/2024,14:02,14:15,0:13:00
07-May,00050-519,TST,,1621,07/05/2024,14:04,16:21,2:17:00
07-May,000040-722,TST,,1712,07/05/2024,14:08,17:12,3:04:00
07-May,000016-524,DNM,,1615,07/05/2024,15:44,16:15,0:31:00
07-May,000162-217,WL,,1546,07/05/2024,15:46,15:46,0:00:00
08-May,00074-512,DNM,,908,08/05/2024,8:00,9:08,1:08:00
08-May,00284-210,DNM,,1159,08/05/2024,8:26,11:59,3:33:00
08-May,00038-514,WL,,1003,08/05/2024,8:42,10:03,1:21:00
08-May,000016-524,DNM,,1009,08/05/2024,9:53,10:09,0:16:00
08-May,000016-524,DNM,,1811,08/05/2024,14:25,18:11,3:46:00
08-May,00162-217,WL,,1208,08/05/2024,11:27,12:08,0:41:00
08-May,000040-722,DNM,,1518,08/05/2024,14:32,15:18,0:46:00
08-May,000344-514,WL,,1643,08/05/2024,15:58,16:43,0:45:00
09-May,00004-516,WL,,942,09/05/2024,8:00,9:42,1:42:00
09-May,00004-522,WL,,941,09/05/2024,8:36,9:41,1:05:00
09-May,000562-518,DNM,,1142,09/05/2024,10:17,11:42,1:25:00
09-May,000040-722,TST,,1152,09/05/2024,10:23,11:52,1:29:00
09-May,000589-514,WL,,1107,09/05/2024,10:36,11:07,0:31:00
09-May,00054-519,DNM,,1143,09/05/2024,10:54,11:43,0:49:00
09-May,12486-215,WL,,1412,09/05/2024,13:43,14:12,0:29:00
10-May,00039-519,TST,,,10/05/2024,08:19:00,8:57,0:38:00
10-May,000050-519,TST,,,10/05/2024,09:20:00,9:36,0:16:00
10-May,000046-518,TST,,,10/05/2024,11:04:00,12:10,1:06:00
10-May,000074-512,WL,,,10/05/2024,11:03:00,11:28,0:25:00
10-May,00228-518,TST,,,10/05/2024,11:36:00,11:49,0:13:00
11-May,000562-518,DNM,,,11/05/2024,08:03:00,9:47,1:44:00
11-May,00046-518,TST,,,11/05/2024,08:19:00,10:07,1:48:00
11-May,000018-522,TST,,,11/05/2024,08:26:00,11:08,2:42:00
11-May,001135-218,DNM,,,11/05/2024,08:31:00,11:23,2:52:00
11-May,000040-722,TST,,,11/05/2024,08:47:00,11:17,2:30:00
11-May,000050-519,WL,,,11/05/2024,08:47:00,9:21,0:34:00
11-May,000609-518,TST,,,11/05/2024,09:35:00,10:02,0:27:00
11-May,000018-522,TST,,,11/05/2024,09:36:00,11:58,2:22:00
11-May,000562-518,DNM,,,11/05/2024,10:45:00,11:17,0:32:00
11-May,000054-519,WL,,,11/05/2024,10:54:00,12:00,1:06:00
11-May,00048-519,WL,,,11/05/2024,11:13:00,11:39,0:26:00
11-May,000018-522,TST,,,11/05/2024,11:25:00,12:00,0:35:00
11-May,000015-219,TST,,,11/05/2024,11:02:00,11:38,0:36:00
11-May,000018-522,TST,,,11/05/2024,14:08:00,14:46,0:38:00
11-May,000609-518,TST,,,11/05/2024,14:44:00,15:14,0:30:00
11-May,000162-217,TST,,,11/05/2024,14:44:00,14:55,0:11:00
11-May,000226-518,TST,,,11/05/2024,14:50:00,16:02,1:12:00
11-May,000226-518,TST,,,11/05/2024,16:07:00,16:52,0:45:00
11-May,000280-518,TST,,,11/05/2024,16:09:00,16:23,0:14:00
11-May,000344-519,WL,,,11/05/2024,16:15:00,16:37,0:22:00
12-May,000040-722,TST,,,12/05/2024,09:34:00,12:01,2:27:00
12-May,00050-519,DNM,,,12/05/2024,09:14:00,10:14,1:00:00
12-May,000228-518,TST,,,12/05/2024,08:56:00,11:19,2:23:00
12-May,00054-519,WL,,,12/05/2024,09:07:00,10:24,1:17:00
13-May,00021-518,DNM,,,13/05/2024,08:30:00,8:47,0:17:00
13-May,00038-514,WL,,,13/05/2024,08:48:00,9:31,0:43:00
13-May,00021-518,DNM,,,13/05/2024,09:26:00,10:28,1:02:00
13-May,000020-524,WL,,,13/05/2024,11:07:00,11:38,0:31:00
13-May,00044-519,WL,,,13/05/2024,15:15:00,15:32,0:17:00
13-May,000040-722,WL,,,13/05/2024,18:04:00,19:39,1:35:00
14-May,00039-519,DNM,,,14/05/2024,09:42:00,9:48,0:06:00
14-May,00041-519,DNM,,,14/05/2024,10:04:00,12:28,2:24:00
14-May,00039-519,DNM,,,14/05/2024,10:43:00,11:56,1:13:00
14-May,00074-512,WL,,,14/05/2024,11:11:00,12:17,1:06:00
14-May,00044-519,WL,,,14/05/2024,14:18:00,14:40,0:22:00
14-May,00054-519,WL,,,14/05/2024,14:47:00,16:29,1:42:00
14-May,000162-217,WL,,,14/05/2024,14:55:00,16:10,1:15:00
14-May,001135-216,WL,,,14/05/2024,16:22:00,17:17,0:55:00
15-May,000617-514,WL,,,15/05/2024,08:53:00,10:58,2:05:00
15-May,000040-722,DNM,,,15/05/2024,08:57:00,11:45,2:48:00
15-May,000016-524,DNM,,,15/05/2024,09:38:00,11:44,2:06:00
15-May,000156-223,WL,,,15/05/2024,10:27:00,10:46,0:19:00
15-May,000147-518,WL,,,15/05/2024,11:28:00,12:17,0:49:00
15-May,00047-512,WL,,,15/05/2024,11:30:00,12:24,0:54:00
15-May,00042-519,WL,,,15/05/2024,08:01:00,8:46,0:45:00
16-May,000040-722,TST,,,16/05/2024,08:19:00,9:47,1:28:00
16-May,000018-522,TST,,,16/05/2024,09:17:00,10:35,1:18:00
16-May,00041-519,TST,,,16/05/2024,14:54:00,16:47,1:53:00
16-May,000017-522,TST,,,16/05/2024,15:42:00,15:52,0:10:00
16-May,000142-219,WL,,,16/05/2024,15:57:00,17:14,1:17:00
16-May,000156-223,WL,,,16/05/2024,16:30:00,17:01,0:31:00
16-May,000042-519,WL,,,16/05/2024,21:24:00,22:00,0:36:00
17-May,000127-513,TST,,,17/05/2024,08:38:00,9:18,0:40:00
17-May,000344-514,WL,,,17/05/2024,08:58:00,9:52,0:54:00
17-May,000230-518,TST,,,17/05/2024,09:28:00,11:24,1:56:00
17-May,00039-219,DNM,,,17/05/2024,10:00:00,12:03,2:03:00
17-May,000015-219,WL,,,17/05/2024,10:11:00,10:22,0:11:00
17-May,000127-513,TST,,,17/05/2024,10:13:00,10:48,0:35:00
17-May,000015-219,TST,,,17/05/2024,11:20:00,11:58,0:38:00
18-May,000016-524,DNM,,,18/05/2024,08:14:00,8:58,0:44:00
18-May,000016-524,DNM,,,18/05/2024,10:58:00,11:21,0:23:00
18-May,00052-514,WL,,,18/05/2024,11:44:00,13:15,1:31:00
18-May,000155-223,WL,,,18/05/2024,14:03:00,14:57,0:54:00
18-May,000040-722,TST,,,18/05/2024,14:05:00,15:30,1:25:00
19-May,00046-518,TST,,,19/05/2024,08:25:00,9:12,0:47:00
19-May,000014-522,WL,,,19/05/2024,08:47:00,9:53,1:06:00
19-May,00004-516,TST,,,19/05/2024,09:23:00,10:54,1:31:00
19-May,000016-522,DNM,,,19/05/2024,09:30:00,9:47,0:17:00
19-May,000040-722,TST,,,19/05/2024,09:47:00,11:08,1:21:00
19-May,000226-518,TST,,,19/05/2024,09:54:00,10:35,0:41:00
19-May,000016-524,DNM,,,19/05/2024,10:23:00,11:09,0:46:00
19-May,00110-216,TST,,,19/05/2024,11:07:00,11:20,0:13:00
19-May,00147-518,WL,,,19/05/2024,11:08:00,11:41,0:33:00
19-May,00044-519,WL,,,19/05/2024,11:14:00,11:42,0:28:00
19-May,00436-512,WL,,,19/05/2024,11:25:00,12:14,0:49:00
19-May,00110-216,WL,,,19/05/2024,14:35:00,15:31,0:56:00
20-May,00074-512,WL,,,20/05/2024,08:15:00,8:44,0:29:00
20-May,000016-524,DNM,,,20/05/2024,08:35:00,10:05,1:30:00
20-May,00021-518,DNM,,,20/05/2024,08:46:00,9:06,0:20:00
20-May,000014-522,WL,,,20/05/2024,10:52:00,11:47,0:55:00
20-May,00048-519,WL,,,20/05/2024,11:20:00,12:20,1:00:00
20-May,00162-217,WL,,,20/05/2024,15:06:00,15:45,0:39:00
20-May,00021-518,DNM,,,20/05/2024,16:33:00,18:27,1:54:00
20-May,000020-524,WL,,,20/05/2024,16:53:00,17:56,1:03:00
