Date,Mat,Seg,Entry,Exit
3-May,00004-516,DNM,07:51,09:55
3-May,00015-219,TST,08:10,09:14
3-May,000016-524,DNM,08:29,09:05
3-May,000155-223,WL,08:48,10:17
3-May,000256-223,WL,09:41,10:10
3-May,00968-211,WL,11:01,12:17
3-May,00054-519,WL,17:16,17:45
4-May,00048-519,WL,06:21,07:46
4-May,00039-519,TST,08:13,09:00
4-May,000012-517,TST,08:36,11:57
4-May,00044-519,WL,08:38,09:44
4-May,00147-518,WL,08:47,09:37
4-May,000589-516,WL,09:32,09:54
4-May,000016-524,DNM,09:45,10:28
4-May,000562-518,DNM,09:50,10:33
4-May,00045-519,TST,10:28,11:53
4-May,00436-512,WL,10:50,11:12
4-May,000018-522,TST,11:05,11:43
4-May,00038-514,WL,11:06,12:00
4-May,00147-518,WL,11:08,11:41
4-May,000609-518,TST,11:16,11:47
4-May,000040-722,TST,11:24,11:45
4-May,000040-722,TST,14:05,15:09
4-May,00016-522,TST,14:08,15:16
4-May,000018-522,TST,14:08,15:56
4-May,000589-514,WL,14:35,15:59
4-May,000020-524,WL,15:52,16:34
4-May,00053-519,WL,16:06,16:34
4-May,00054-519,WL,16:40,17:34
4-May,00162-217,TST,17:15,17:35
5-May,00039-519,TST,08:23,13:00
5-May,000016-524,DNM,08:26,09:16
5-May,000016-524,DNM,09:42,10:14
5-May,000040-722,TST,10:58,11:08
5-May,000016-524,DNM,11:13,11:47
5-May,00044-519,WL,11:44,12:54
5-May,00147-518,WL,12:09,12:19
5-May,00344-514,WL,15:30,16:22
5-May,000017-522,WL,15:36,16:49
5-May,00147-518,WL,16:09,16:35
5-May,000155-223,WL,16:17,16:27
5-May,00048-519,WL,16:40,17:00
6-May,000040-722,TST,07:50,11:50
6-May,000155-223,WL,11:49,12:26
6-May,000040-722,TST,14:09,16:58
6-May,00048-519,WL,14:42,15:01
6-May,000562-518,TST,14:42,14:47
6-May,000020-524,WL,14:56,17:22
6-May,00039-519,DNM,15:19,16:00
6-May,000562-518,TST,15:41,16:46
6-May,00162-217,WL,15:41,16:09
6-May,00021-518,TST,15:49,17:21
7-May,000040-722,TST,08:02,08:51
7-May,000050-519,WL,09:20,11:42
7-May,000617-514,WL,10:19,10:57
7-May,000040-722,TST,10:38,11:44
7-May,001087-513,TST,10:55,12:25
7-May,000155-223,WL,14:02,14:15
7-May,00050-519,TST,14:04,16:21
7-May,000040-722,TST,14:08,17:12
7-May,000016-524,DNM,15:44,16:15
7-May,000162-217,WL,15:46,15:46
8-May,00074-512,DNM,08:00,09:08
8-May,00284-210,DNM,08:26,11:59
8-May,00038-514,WL,08:42,10:03
8-May,000016-524,DNM,09:53,10:09
8-May,000016-524,DNM,14:25,18:11
8-May,00162-217,WL,11:27,12:08
8-May,000040-722,DNM,14:32,15:18
8-May,000344-514,WL,15:58,16:43
9-May,00004-516,WL,08:00,09:42
9-May,00004-522,WL,08:36,09:41
9-May,000562-518,DNM,10:17,11:42
9-May,000040-722,TST,10:23,11:52
9-May,000589-514,WL,10:36,11:07
9-May,00054-519,DNM,10:54,11:43
9-May,12486-215,WL,13:43,14:12
10-May,00039-519,TST,08:19,08:57
10-May,000050-519,TST,09:20,09:36
10-May,000046-518,TST,11:04,12:10
10-May,000074-512,WL,11:03,11:28
10-May,00228-518,TST,11:36,11:49
11-May,000562-518,DNM,08:03,09:47
11-May,00046-518,TST,08:19,10:07
11-May,000018-522,TST,08:26,11:08
11-May,001135-218,DNM,08:31,11:23
11-May,000040-722,TST,08:47,11:17
11-May,000050-519,WL,08:47,09:21
11-May,000609-518,TST,09:35,10:02
11-May,000018-522,TST,09:36,11:58
11-May,000562-518,DNM,10:45,11:17
11-May,000054-519,WL,10:54,12:00
11-May,00048-519,WL,11:13,11:39
11-May,000018-522,TST,11:25,12:00
11-May,000015-219,TST,11:02,11:38
11-May,000018-522,TST,14:08,14:46
11-May,000609-518,TST,14:44,15:14
11-May,000162-217,TST,14:44,14:55
11-May,000226-518,TST,14:50,16:02
11-May,000226-518,TST,16:07,16:52
11-May,000280-518,TST,16:09,16:23
11-May,000344-519,WL,16:15,16:37
12-May,000040-722,TST,09:34,12:01
12-May,00050-519,DNM,09:14,10:14
12-May,000228-518,TST,08:56,11:19
12-May,00054-519,WL,09:07,10:24
13-May,00021-518,DNM,08:30,08:47
13-May,00038-514,WL,08:48,09:31
13-May,00021-518,DNM,09:26,10:28
13-May,000020-524,WL,11:07,11:38
13-May,00044-519,WL,15:15,15:32
13-May,000040-722,WL,18:04,19:39
14-May,00039-519,DNM,09:42,09:48
14-May,00041-519,DNM,10:04,12:28
14-May,00039-519,DNM,10:43,11:56
14-May,00074-512,WL,11:11,12:17
14-May,00044-519,WL,14:18,14:40
14-May,00054-519,WL,14:47,16:29
14-May,000162-217,WL,14:55,16:10
14-May,001135-216,WL,16:22,17:17
15-May,000617-514,WL,08:53,10:58
15-May,000040-722,DNM,08:57,11:45
15-May,000016-524,DNM,09:38,11:44
15-May,000156-223,WL,10:27,10:46
15-May,000147-518,WL,11:28,12:17
15-May,00047-512,WL,11:30,12:24
15-May,00042-519,WL,08:01,08:46
16-May,000040-722,TST,08:19,09:47
16-May,000018-522,TST,09:17,10:35
16-May,00041-519,TST,14:54,16:47
16-May,000017-522,TST,15:42,15:52
16-May,000142-219,WL,15:57,17:14
16-May,000156-223,WL,16:30,17:01
16-May,000042-519,WL,21:24,22:00
17-May,000127-513,TST,08:38,09:18
17-May,000344-514,WL,08:58,09:52
17-May,000230-518,TST,09:28,11:24
17-May,00039-219,DNM,10:00,12:03
17-May,000015-219,WL,10:11,10:22
17-May,000127-513,TST,10:13,10:48
17-May,000015-219,TST,11:20,11:58
18-May,000016-524,DNM,08:14,08:58
18-May,000016-524,DNM,10:58,11:21
18-May,00052-514,WL,11:44,13:15
18-May,000155-223,WL,14:03,14:57
18-May,000040-722,TST,14:05,15:30
19-May,00046-518,TST,08:25,09:12
19-May,000014-522,WL,08:47,09:53
19-May,00004-516,TST,09:23,10:54
19-May,000016-522,DNM,09:30,09:47
19-May,000040-722,TST,09:47,11:08
19-May,000226-518,TST,09:54,10:35
19-May,000016-524,DNM,10:23,11:09
19-May,00110-216,TST,11:07,11:20
19-May,00147-518,WL,11:08,11:41
19-May,00044-519,WL,11:14,11:42
19-May,00436-512,WL,11:25,12:14
19-May,00110-216,WL,14:35,15:31
20-May,00074-512,WL,08:15,08:44
20-May,000016-524,DNM,08:35,10:05
20-May,00021-518,DNM,08:46,09:06
20-May,000014-522,WL,10:52,11:47
20-May,00048-519,WL,11:20,12:20
20-May,00162-217,WL,15:06,15:45
20-May,00021-518,DNM,16:33,18:27
20-May,000020-524,WL,16:53,17:56